         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.003    0.000    0.040    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:1000(getmodule)
        1    0.000    0.000    0.039    0.039 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/state/discharge.py:1(<module>)
        1    0.000    0.000    0.039    0.039 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/__init__.py:1(<module>)
       10    0.005    0.000    0.038    0.004 /Users/dleonenko/gym-narde/muzero/models.py:141(recurrent_inference)
       44    0.000    0.000    0.037    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:970(parse)
   141/44    0.001    0.000    0.037    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:451(_parse_sub)
        1    0.000    0.000    0.037    0.037 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1216(to)
     41/1    0.000    0.000    0.037    0.037 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:900(_apply)
   398/45    0.013    0.000    0.037    0.001 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:511(_parse)
        1    0.031    0.031    0.037    0.037 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/lax/lax.py:1(<module>)
        1    0.000    0.000    0.037    0.037 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/__init__.py:1(<module>)
        1    0.000    0.000    0.036    0.036 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/tensor/_collective_utils.py:1(<module>)
       46    0.000    0.000    0.036    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1320(convert)
     5111    0.022    0.000    0.036    0.000 /Users/dleonenko/gym-narde/gym_narde/envs/narde.py:337(_violates_block_rule)
        1    0.000    0.000    0.036    0.036 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/library.py:821(register)
      474    0.000    0.000    0.036    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/basic.py:182(__init_subclass__)
        1    0.000    0.000    0.035    0.035 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/numpy/lax_numpy.py:1(<module>)
      475    0.015    0.000    0.035    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/core/assumptions.py:614(_prepare_class_assumptions)
        1    0.000    0.000    0.035    0.035 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/_diagnostic.py:1(<module>)
        1    0.000    0.000    0.035    0.035 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/__init__.py:1(<module>)
    11731    0.035    0.000    0.035    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
      931    0.000    0.000    0.034    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:3342(signature)
      931    0.001    0.000    0.034    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:3066(from_callable)
       13    0.000    0.000    0.034    0.003 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/library.py:625(wrap)
      319    0.000    0.000    0.034    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/api.py:147(jit)
 1598/956    0.005    0.000    0.033    0.000 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/inspect.py:2477(_signature_from_callable)
      319    0.000    0.000    0.033    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/_src/pjit.py:517(make_jit)
        1    0.000    0.000    0.033    0.033 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/onnx/_internal/diagnostics/infra/_infra.py:1(<module>)
       89    0.000    0.000    0.032    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/dispatcher.py:178(add)
        1    0.000    0.000    0.032    0.032 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/polys/partfrac.py:1(<module>)
        1    0.000    0.000    0.032    0.032 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/utilities/decorator.py:59(xthreaded)
        1    0.000    0.000    0.032    0.032 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/utilities/decorator.py:10(threaded_factory)
       89    0.001    0.000    0.032    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/multipledispatch/dispatcher.py:222(reorder)
        1    0.000    0.000    0.032    0.032 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/matrices/__init__.py:1(<module>)
